"full_name","diameter","class"
"   73P/Schwassmann-Wachmann 3-BL",,JFc
"   73P/Schwassmann-Wachmann 3-BM",,JFc
"   73P/Schwassmann-Wachmann 3-BN",,JFc
"   73P/Schwassmann-Wachmann 3-BO",,JFc
"   73P/Schwassmann-Wachmann 3-BP",,JFc
"   73P/Schwassmann-Wachmann 3-BQ",,JFc
"   73P/Schwassmann-Wachmann 3-BR",,JFc
"   73P/Schwassmann-Wachmann 3-BS",,JFc
"   73P/Schwassmann-Wachmann 3-BT",,JFc
"   73P/Schwassmann-Wachmann 3-BU",,JFc
"   73P/Schwassmann-Wachmann 3-BV",,JFc
"   73P/Schwassmann-Wachmann 3-BW",,JFc
"   73P/Schwassmann-Wachmann 3-BX",,JFc
"   73P/Schwassmann-Wachmann 3-BY",,JFc
"   74P/Smirnova-Chernykh",4.46,ETc
"   75D/Kohoutek",4.6,JFc
"   76P/West-Kohoutek-Ikemura",0.66,JFc
"   77P/Longmore",8.2,JFc
"   78P/Gehrels 2",,JFc
"   79P/du Toit-Hartley",2.8,JFc
"   79P/du Toit-Hartley-A",,JFc
"   79P/du Toit-Hartley-B",,JFc
"   80P/Peters-Hartley",,JFc
"   81P/Wild 2",4.0,JFc
"   82P/Gehrels 3",1.46,ETc
"   83D/Russell 1",,JFc
"   84P/Giclas",1.80,JFc
"   85P/Boethin",,JFc
"   86P/Wild 3",0.86,JFc
"   87P/Bus",0.56,ETc
"   88P/Howell",4.4,JFc
"   89P/Russell 2",2.8,JFc
"   90P/Gehrels 1",7.8,JFc
"   91P/Russell 3",,JFc
"   92P/Sanguin",2.38,JFc
"   93P/Lovas 1",,JFc
"   94P/Russell 4",,ETc
"   96P/Machholz 1",6.4,JFC
"   97P/Metcalf-Brewington",3.4,JFc
"   98P/Takamizawa",5.4,JFc
"   99P/Kowal 1",10.2,JFc
"  100P/Hartley 1",,JFc
"  101P/Chernykh",5.6,JFc
"  101P/Chernykh-B",,JFc
"  102P/Shoemaker 1",3.2,JFc
"  103P/Hartley 2",1.6,JFc
"  104P/Kowal 2",2.0,JFc
"  105P/Singer Brewster",2.2,JFc
"  106P/Schuster",1.88,JFc
"  108P/Ciffreo",3.2,JFc
"  109P/Swift-Tuttle",26,HTC
"  110P/Hartley 3",4.3,JFc
"  111P/Helin-Roman-Crockett",1.2,ETc
"  112P/Urata-Niijima",1.8,JFc
"  113P/Spitaler",2.2,JFc
"  114P/Wiseman-Skiff",1.56,JFc
"  115P/Maury",2.22,JFc
"  116P/Wild 4",,ETc
"  117P/Helin-Roman-Alu 1",9,JFc
"  118P/Shoemaker-Levy 4",4.8,JFc
"  119P/Parker-Hartley",,JFc
"  120P/Mueller 1",3.0,JFc
"  121P/Shoemaker-Holt 2",3.24,JFc
"  122P/de Vico",,HTC
"  123P/West-Hartley",,JFc
"  124P/Mrkos",,JFc
"  125P/Spacewatch",1.6,JFc
"  126P/IRAS",3.2,JFC
"  127P/Holt-Olmstead",,JFc
"  128P/Shoemaker-Holt 1",,JFc
"  128P/Shoemaker-Holt 1-A",,JFc
"  128P/Shoemaker-Holt 1-B",4.6,JFc
"  129P/Shoemaker-Levy 3",,ETc
"  130P/McNaught-Hughes",4.2,JFc
"  131P/Mueller 2",,JFc
"  132P/Helin-Roman-Alu 2",,JFc
"  134P/Kowal-Vavrova",,JFc
"  135P/Shoemaker-Levy 8",3.8,JFc
"  136P/Mueller 3",,JFc
"  137P/Shoemaker-Levy 2",5.8,JFc
"  138P/Shoemaker-Levy 7",,JFc
"  139P/Vaisala-Oterma",,JFc
"  140P/Bowell-Skiff",,JFc
"  141P/Machholz 2",,JFc
"  141P/Machholz 2-A",,JFc
"  141P/Machholz 2-D",,JFc
"  141P/Machholz 2-I",,JFc
"  142P/Ge-Wang",,JFc
"  143P/Kowal-Mrkos",,JFc
"  144P/Kushida",,JFc
"  145P/Shoemaker-Levy 5",,JFc
"  146P/Shoemaker-LINEAR",,JFc
"  147P/Kushida-Muramatsu",0.42,ETc
"  148P/Anderson-LINEAR",,JFc
"  149P/Mueller 4",,JFc
"  150P/LONEOS",,JFc
"  151P/Helin",8.4,JFc
"  152P/Helin-Lawrence",,JFc
"  153P/Ikeya-Zhang",,COM
"  154P/Brewington",,JFc
"  155P/Shoemaker 3",,JFc
"  156P/Russell-LINEAR",,JFc
"  157P/Tritton",,JFc
"  157P/Tritton-B",,JFc
"  158P/Kowal-LINEAR",,JFc
"  159P/LONEOS",,JFc
"  160P/LINEAR",,JFc
"  161P/Hartley-IRAS",,HTC
"  162P/Siding Spring",,JFc
"  163P/NEAT",,JFc
"  164P/Christensen",,JFc
"  165P/LINEAR",,CTc
"  166P/NEAT",,CTc
"  167P/CINEOS",66.170,CTc
"  168P/Hergenrother",,JFc
"  169P/NEAT",,JFc
"  170P/Christensen",,JFc
"  171P/Spahr",,JFc
"  172P/Yeung",,JFc
"  173P/Mueller 5",,JFc
"  175P/Hergenrother",,JFc
"  177P/Barnard",,HTC
"  178P/Hug-Bell",,JFc
"  179P/Jedicke",,JFc
"  180P/NEAT",,JFc
"  181P/Shoemaker-Levy 6",,JFc
"  182P/LONEOS",,JFc
"  183P/Korlevic-Juric",,JFc
"  184P/Lovas 2",6.2,JFc
"  185P/Petriew",,JFc
"  186P/Garradd",,JFc
"  187P/LINEAR",,JFc
"  188P/LINEAR-Mueller",,JFc
"  189P/NEAT",,JFc
"  190P/Mueller",,JFc
"  191P/McNaught",,JFc
"  192P/Shoemaker-Levy 1",,JFc
"  193P/LINEAR-NEAT",,JFc
"  194P/LINEAR",,JFc
"  195P/Hill",,JFc
"  196P/Tichy",,JFc
"  197P/LINEAR",,JFc
"  198P/ODAS",,JFc
"  199P/Shoemaker 4",,JFc
"  200P/Larsen",,JFc
"  201P/LONEOS",,JFc
"  202P/Scotti",,JFc
"  203P/Korlevic",,JFc
"  204P/LINEAR-NEAT",,JFc
"  205P/Giacobini",,JFc
"  205P/Giacobini-A",,JFc
"  205P/Giacobini-B",,JFc
"  205P/Giacobini-C",,JFc
"  206P/Barnard-Boattini",,JFc
"  207P/NEAT",,JFc
"  208P/McMillan",,JFc
"  209P/LINEAR",,JFc
"  210P/Christensen",,JFc
"  211P/Hill",,JFc
"  212P/NEAT",1.7,JFc
"  213P/Van Ness",,JFc
"  213P/Van Ness-B",,JFc
"  214P/LINEAR",,JFc
"  215P/NEAT",,JFc
"  216P/LINEAR",,JFc
"  217P/LINEAR",,JFc
"  218P/LINEAR",,JFc
"  219P/LINEAR",,JFc
"  220P/McNaught",,JFc
