Constellation,IAU,NASA,Genitive,Origin,Meaning,Brightest star
Sextans /ˈsɛkstənz,Sex,Sext,Sextantis /sɛksˈtæntɪs,"1690, Firmamentum Sobiescianum, Hevelius",sextant,α Sextantis
Taurus /ˈtɔːrəs,Tau,Taur,Tauri /ˈtɔːraɪ,ancient (Ptolemy),bull,Aldebaran
Telescopium /ˌtɛlɪˈskɒpiəm,Tel,Tele,Telescopii /ˌtɛlɪˈskɒpiaɪ,"1763, Lacaille",telescope,α Telescopii
Triangulum/traɪˈæŋɡjʊləm,Tri,Tria,Trianguli /traɪˈæŋɡjʊlaɪ,ancient (Ptolemy),triangle,β Trianguli
"Triangulum Australe/traɪˈæŋɡjʊləm ɔːˈstræliː, -ˈstreɪ-",TrA,TrAu,Trianguli Australis/traɪˈæŋɡjʊlaɪ ɔːˈstrælɪs,"1603, Uranometria, created by Keyser and de Houtman",southern triangle,Atria
Tucana /tjuːˈkeɪnə,Tuc,Tucn,Tucanae/tjuːˈkeɪniː,"1603, Uranometria, created by Keyser and de Houtman",toucan,α Tucanae
Ursa Major /ˌɜːrsə ˈmeɪdʒər,UMa,UMaj,Ursae Majoris /ˌɜːrsiː məˈdʒɒrɪs,ancient (Ptolemy),great bear,Alioth
Ursa Minor /ˌɜːrsə ˈmaɪnər,UMi,UMin,Ursae Minoris /ˌɜːrsiː mɪˈnɒrɪs,ancient (Ptolemy),lesser bear,Polaris
Vela /ˈviːlə,Vel,Velr,Velorum/vɪˈlɔːrəm,"1763, Lacaille, split from Argo Navis",sails,γ2 Velorum
Virgo /ˈvɜːrɡoʊ,Vir,Virg,Virginis /ˈvɜːrdʒɪnɪs,ancient (Ptolemy),virgin or maiden,Spica
Volans/ˈvoʊlænz,Vol,Voln,Volantis/voʊˈlæntɪs,"1603, Uranometria, created by Keyser and de Houtman, as Piscis Volans",flying fish,β Volantis
Vulpecula/vʌlˈpɛkjʊlə,Vul,Vulp,Vulpeculae/vʌlˈpɛkjʊliː,"1690, Firmamentum Sobiescianum, Hevelius, as  Vulpecula cum Ansere",fox,Anser
